date,code,name,high,low,close,change,volume,value
2026-09-08,8466,美吉吉-KY,15,14.9,15,-0.3,5835,87570
2026-09-08,8467,波力-KY,90.4,88.2,90.4,0.1,9669,865162
2026-09-08,8473,山林水,40.55,39.25,39.5,0,1689140,67156271
2026-09-08,8476,台境*,19.4,18.7,19.4,0.55,244094,4624508
2026-09-08,8478,東哥遊艇,142.5,141,141.5,-1,28677,4057874
2026-09-08,8481,政伸,41.4,41.2,41.4,-0.1,9830,405566
2026-09-08,8482,商億-KY,49.6,48.5,49.6,0.65,3976,195316
2026-09-08,8487,愛爾達-創,71.5,70.5,71.3,-0.1,6339,451487
2026-09-08,8488,吉源-KY,10.9,10.35,10.35,-0.4,67869,712259
2026-09-08,8499,鼎炫-KY,267,257,257,-1,18443,4779860
2026-09-08,8926,台汽電,58.3,57.1,57.2,-0.7,1903278,109183955
2026-09-08,8940,新天地,15,14.85,14.85,-0.1,23639,353743
2026-09-08,8996,高力,1285,1205,1225,-15,4527634,5606161445
2026-09-08,9103,美德醫療-DR,5.14,5.09,5.11,-0.04,362153,1852440
2026-09-08,9105,泰金寶-DR,8.86,8.63,8.68,-0.17,24981848,217335423
2026-09-08,9110,越南控-DR,2.98,2.98,2.98,-0.01,5005,14914
2026-09-08,9136,巨騰-DR,10.9,10.45,10.45,-0.6,174060,1847446
2026-09-08,9802,鈺齊-KY,72.3,71.2,71.2,-0.8,680120,48783332
2026-09-08,9902,台火,13.75,13.55,13.65,0,82107,1118293
2026-09-08,9904,寶成,24.75,24.5,24.7,0.1,6406499,157711260
2026-09-08,9905,大華,21.5,21.35,21.4,0,50251,1077384
2026-09-08,9906,欣巴巴,42.6,41.4,41.8,-0.75,87948,3689839
2026-09-08,9907,統一實,15.35,15.25,15.25,-0.05,451893,6906039
2026-09-08,9908,大台北,29.3,29.1,29.1,-0.1,66716,1945843
2026-09-08,9910,豐泰,73.4,70.7,71.8,2,3761722,271342607
2026-09-08,9911,櫻花,82.1,81.6,81.7,0,142177,11632057
2026-09-08,9912,偉聯,12.9,12.75,12.8,-0.1,81330,1040188
2026-09-08,9914,美利達,78,76.7,77,-0.8,896379,69129236
2026-09-08,9917,中保科,107,106,106.5,0,260810,27778231
2026-09-08,9918,欣天然,43.3,43.15,43.2,0.05,9138,394617
2026-09-08,9919,康那香,14.15,14.05,14.05,0.1,196207,2761504
2026-09-08,9921,巨大,97.6,93.7,95.6,-1.7,1773467,168966664
2026-09-08,9924,福興,38.65,38.4,38.45,0,120914,4659524
2026-09-08,9925,新保,39.75,39.5,39.6,0.05,298228,11817902
2026-09-08,9926,新海,49.55,49.1,49.5,-0.05,13000,642579
2026-09-08,9927,泰銘,69.9,69.5,69.5,-0.2,37426,2605816
2026-09-08,9928,中視,17.8,17.6,17.75,-0.05,59101,1045934
2026-09-08,9929,秋雨,11.25,11.25,11.25,-0.05,2183,24540
2026-09-08,9930,中聯資源,63.1,62.5,62.7,-0.4,77273,4849485
2026-09-08,9931,欣高,34.2,33.9,34.1,-0.1,24519,834896
2026-09-08,9933,中鼎,39.35,38.65,39.1,0,3250532,126362431
2026-09-08,9934,成霖,10.9,10.75,10.8,0,455589,4920472
2026-09-08,9935,慶豐富,19.5,19.4,19.5,0.05,75098,1459996
2026-09-08,9937,全國,55.6,55.2,55.2,-0.5,11923,662025
2026-09-08,9938,百和,41.2,40.35,40.35,-0.75,1332660,54065344
2026-09-08,9939,宏全,129.5,127.5,128.5,-0.5,699671,89717903
2026-09-08,9940,信義,20.45,20.25,20.25,-0.15,209167,4266770
2026-09-08,9941,裕融,81.4,80.5,81,0.5,657911,53298477
2026-09-08,9942,茂順,114.5,113.5,114,0,61155,6961597
2026-09-08,9943,好樂迪,51.7,51,51,-0.5,62298,3198205
2026-09-08,9944,新麗,17.35,17.2,17.2,0,26418,454808
2026-09-08,9945,潤泰新,28.15,27.75,28.05,0.15,2456877,68658732
2026-09-08,9946,三發地產,17.45,17,17.1,-0.1,309837,5307602
2026-09-08,9955,佳龍,24,23.7,23.8,-0.1,126904,3023243
2026-09-08,9958,世紀鋼,92,90,90.1,-1.5,1441757,130817192
